Timestamp,"
What type of OHAC membership do you have?","Overall, how would you rate your current experience as an OHAC member? 1=Poor 5=Excellent",What parts of the club currently work well for you?,What parts of the club could be improved and what could make it stronger?,What first attracted you to OHAC? Tick all that apply,What keeps you involved with OHAC now? Tick all that apply,Which OHAC activities do you currently take part in? Tick all that apply,Are you part of any informal running or training groups connected to OHAC?,"If yes, what sort of group is it?  E.g. Sunday long run, weekday easy run, track group, yoga, etc.",Are there activities or groups you think more members should know about?,What types of club activity would add the most value for you? Tick all that apply,"If more group runs were added, when would you be most likely to attend? Tick all that apply",Which locations would work best for you? Tick all that apply,What would make you more likely to attend a club run? Tick all that apply,What currently makes it harder for you to attend OHAC activities? Tick all that apply,How useful do you find these communication channels? [Website],How useful do you find these communication channels? [Facebook page],How useful do you find these communication channels? [Private Facebook group],How useful do you find these communication channels? [Club calendar],How useful do you find these communication channels? [Word of mouth],How useful do you find these communication channels? [Heja],How useful do you find these communication channels? [Other channel],What information should be easier to find? Tick any that apply,What would you like to see more of in OHAC communications?   Tick any that apply,"Suggestions for improving website, newsletter, Facebook, or calendar",What is your preferred channel or channels for communication from the club?,"What skills or experience would you be willing to share with the club (if any)   E.g. coaching, organising, communications, social media, events, photography, finance, first aid, fundraising, sponsorship, junior sport",Would you be happy for someone to contact you about your responses?,"If yes, please leave your name and contact details",Is there anything else you’d like to tell us?,Column 29
8/20/2026 20:56:48,Full competitive member,5,The newsletter,,"Club history or reputation, Competitive running / racing, Friend/family already a member, Location / convenience, Social connection","Access to events or facilities, Club history / loyalty, Racing opportunities","Interclub and Club Racing / Harriers, Saturday club runs",No,,,"Post-run coffee / drink / food, Quiz night or social event",Saturday afternoon,Clubrooms / Northern Suburbs,"Clear “no one left behind” approach, A named run leader",I also do half ironman trainng events,Very useful,Very useful,Not useful,Very useful,Somewhat useful,Not useful,Very useful,"Upcoming runs, Upcoming races","Race results, Upcoming events",,Newsletter,,No,,,
8/22/2026 10:21:54,Full competitive member,4,"Love the social aspect of Tuesday training, and that it makes you accountable to the coach and other runners.","A wider variety of social runs - not just the Saturday pack runs, but different days/paces/locations.","Coaching or structured training, Friend/family already a member, Social connection","Club history / loyalty, Coaching or advice, Training with others / Social connection / Friendships","Interclub and Club Racing / Harriers, Saturday club runs, Tuesday night sessions, Volunteering / officiating","Not currently, but I’d like to be",,,"Post-run coffee / drink / food, Saturday morning option, Weeknight group run, Quiz night or social event","Weekday evening, Saturday morning, Sunday morning","Clubrooms / Northern Suburbs, City / waterfront","Different pace groups, Knowing the pace beforehand, A social option afterwards, Knowing the route beforehand","Pace feels too fast, Timing, I’m not sure what’s on, Social commitments",Somewhat useful,Somewhat useful,Very useful,I don't use this,Useful,I don't use this,Very useful,"Upcoming runs, Who to contact, Volunteer opportunities","Clear info for new members, Photos, Member stories, Can I request less parkrun results? Maybe only highlighting when people get a PB, or when they're doing cool runs overseas, rather than the hundred people who do the same run/walk every week",I sometimes struggle when there's a big wall of text in emails/facebook.,Weekly emails,,No,,,
8/22/2026 14:33:31,Social member,3,"When I have time, Tuesday night trainings are awesome.","I’m not an active social member, not sure how better use my membership",Location / convenience,Training with others / Social connection / Friendships,Tuesday night sessions,"Not currently, but I’d like to be",A Sunday long run (15ish km) would be great,,"Post-run coffee / drink / food, Sunday long run, Weeknight group run","Weekday early morning, Saturday morning, Saturday afternoon, Sunday morning, Sunday afternoon",Clubrooms / Northern Suburbs,"Clear “no one left behind” approach, Different pace groups, Knowing the pace beforehand","Activity doesn’t match what I’m looking for, Family commitments, I don’t know who to contact",Somewhat useful,I don't use this,I don't use this,Useful,I don't use this,I don't use this,I don't use this,"Upcoming runs, Training sessions, Who to contact, What club offers runners","Social run info, Upcoming events","The emails are my point of contact, I avoid social media, although would consider a group chat.",Email,,No,,,
8/22/2026 15:38:46,Full competitive member,4,Training at Nairnville and events,,"Coaching or structured training, Competitive running / racing, Location / convenience, Track and field","Access to events or facilities, Coaching or advice, Racing opportunities, Training with others / Social connection / Friendships","Interclub and Club Racing / Harriers, Track and field",No,,,"Race-specific training groups, Track session","Saturday morning, Saturday afternoon, Sunday afternoon",City / waterfront,"Coaching or structure, A more convenient location, Easier-to-find information, Knowing the pace beforehand","Activity doesn’t match what I’m looking for, Location / Transport, Timing",Useful,Somewhat useful,Somewhat useful,Useful,Not useful,Useful,Not useful,It's already very good,"Clear info for new members, Photos, Upcoming events",,Email information from the website/Heja,,No,,,
8/22/2026 15:44:07,Full competitive member,4,Social,Clarity on all events when they will be open for entry and how the process will work for teams etc. Seems to be a bit random for relays.,Friend/family already a member,"Access to events or facilities, Coaching or advice, Training with others / Social connection / Friendships","Saturday club runs, Tuesday night sessions, Volunteering / officiating, Organising events",No,,"Yes a few other group runs such as weekday evening runs, sunday long runs. A lot of people can't make the Saturday 2pm run.","Sunday long run, Weeknight group run","Weekday evening, Sunday morning","Clubrooms / Northern Suburbs, City / waterfront, Hutt Valley, Porirua / Whitby / Aotea, Location matters less than people/session type","Different pace groups, Knowing the pace beforehand, A named run leader, Nothing — I already attend what I want","Timing, I don’t know who to contact",Somewhat useful,Somewhat useful,Useful,Not useful,Very useful,Not useful,Not useful,"Upcoming runs, Upcoming races, Training sessions, Coaching options, Social events, Results, Who to contact, What club offers runners, Volunteer opportunities","Coaching tips, Photos, Race results, Social run info, Member stories, Upcoming events, Volunteer shout-outs",,Email then web pages,,Yes,Adrian 021 397 617,Young people access info through phones and Facebook etc. Some older people still on PC's emails and websites.,
8/22/2026 15:55:37,Full competitive member,4,Only participating in some races,Haven't been able to take part in other opportunities due to family commitments,"Friend/family already a member, Junior athletics","Racing opportunities, Family also members",Interclub and Club Racing / Harriers,"Not currently, but I’d like to be",,,Race-specific training groups,Depends on kids commitments,Location matters less than people/session type,"Different pace groups, Knowing the pace beforehand",Family commitments,I don't use this,Very useful,Useful,Very useful,Not useful,Useful,I don't use this,"Upcoming runs, Training sessions","Social run info, Upcoming events",,Email,,No,,,
8/22/2026 16:02:08,Parent / supporter,3,Winter XC season lots of comminication and events etc,Summer Track Season - Little communication or celebration of athletes and events,"Friend/family already a member, Junior athletics, Location / convenience","Location, close to home","I Coach / Support others, Junior athletics, Junior coaching, Track and field",No,,Summer track coaching and events,"Race-specific training groups, Track session",Weekday evening,"Clubrooms / Northern Suburbs, Newtown / track area","Coaching or structure, Different pace groups",Activity doesn’t match what I’m looking for,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,I don't use this,I don't use this,"Training sessions, Coaching options, Junior athletics info, What club offers runners","Training opportunities, Tarck and field focus",,"Facebook, website, newsletter",,Yes,,,
8/22/2026 16:13:03,Parent / supporter,5,Lou’s second year at the club and I’ve been blown away at how it’s run and the effort that everybody puts in. Feel very lucky to be part of the Olympic team.,,"Club history or reputation, Coaching or structured training, Competitive running / racing","Access to events or facilities, Club history / loyalty, Coaching or advice, Racing opportunities, Results and recognition, Supporting juniors or families","Interclub and Club Racing / Harriers, Junior coaching",Yes,Lou trains with John and Craig Tuesday/thur nights,,"Race-specific training groups, Track session","Weekday early morning, Weekday evening","Clubrooms / Northern Suburbs, City / waterfront, Porirua / Whitby / Aotea",Nothing — I already attend what I want,Family commitments,Useful,Very useful,Very useful,Useful,Somewhat useful,Very useful,Somewhat useful,"Coaching options, Junior athletics info, Who to contact","Clear info for new members, Junior updates, Photos, Volunteer shout-outs",,"Emails and the FB page are great, heji works well for John and Craig’s running groups",,No,,,
8/22/2026 17:22:28,Parent / supporter,4,,,Junior athletics,Supporting juniors or families,Junior athletics,No,,,"Women’s social run, Quiz night or social event","Weekday evening, Saturday afternoon",Clubrooms / Northern Suburbs,"Clear “no one left behind” approach, Knowing the pace beforehand","Family commitments, Work commitments, I’m not sure what’s on, I don’t know who to contact",Very useful,Useful,I don't use this,I don't use this,Very useful,I don't use this,I don't use this,"How to join, Who to contact, What club offers runners","Clear info for new members, Upcoming events",,EMail or facebook,"I don't feel able to commit at the moment, I am already heavily committed as a volunteer for other community organisations",Yes,gabrielle Wheddon gemnutt@hotmail.com,,
8/22/2026 20:57:15,Social member,3,Friendly,"Social Media particularly Instagram
At least one other organised weekly run (mid week evening)",Friend/family already a member,"Club history / loyalty, Training with others / Social connection / Friendships",Not currently active,"Not currently, but I’d like to be",,,"Weeknight group run, Women’s social run","Weekday early morning, Weekday evening","Clubrooms / Northern Suburbs, City / waterfront",A flatter route,"Family commitments, Injury / fitness",Somewhat useful,Very useful,Very useful,Useful,Useful,I don't use this,Very useful,"Results, What club offers runners","Social run info, Upcoming events",,Facebook,,No,,,
8/22/2026 21:11:06,Social member,5,Tuesday night training,,"Coaching or structured training, Location / convenience","Coaching or advice, Training with others / Social connection / Friendships",Tuesday night sessions,No,,,"Sunday long run, Saturday morning option","Saturday morning, Sunday morning","Clubrooms / Northern Suburbs, Porirua / Whitby / Aotea",Nothing — I already attend what I want,"Family commitments, Work commitments",Somewhat useful,Somewhat useful,Not useful,Somewhat useful,Somewhat useful,Not useful,Not useful,Nothing really,Nothing required,,Website and weekly email,,No,,,
8/22/2026 22:49:32,Life Member,4,,,"Club history or reputation, Coaching or structured training, Competitive running / racing, Friend/family already a member, Location / convenience, Social connection",Club history / loyalty,Not currently active,No,,All good as is,"Post-run coffee / drink / food, Walking group, Quiz night or social event",None atm,Clubrooms / Northern Suburbs,Nothing — I already attend what I want,Injury / fitness,Useful,Useful,Useful,Useful,Useful,Somewhat useful,Somewhat useful,Well covered already,All good as is,All good as is,Email,None atm,No,,,
8/23/2026 6:28:20,Full competitive member,5,Weekend social runs and harrier / road racing,Summer track,Location / convenience,"Access to events or facilities, Racing opportunities, Results and recognition, Training with others / Social connection / Friendships","Interclub and Club Racing / Harriers, Saturday club runs, Track and field, Volunteering / officiating",No,,,"Post-run coffee / drink / food, Saturday morning option, Track session",Weekday evening,"City / waterfront, Newtown / track area",Nothing — I already attend what I want,Family commitments,Somewhat useful,Useful,Useful,Somewhat useful,Useful,Not useful,Not useful,"Upcoming races, Training sessions","Social run info, Training opportunities, Upcoming events, Volunteer shout-outs",,"email
",,Yes,Keith Chapman 0272303582,,
8/23/2026 7:41:08,Full competitive member,4,Opportunity to participate in interclub events. John and Craig's coaching Tuesdays and Thursdays,,Friend/family already a member,"Access to events or facilities, Coaching or advice, Racing opportunities, Supporting juniors or families, Training with others / Social connection / Friendships","Interclub and Club Racing / Harriers, Craig and John's Tuesday and Thursday sessions",No,,,"None - currently unable to attend any other regular sessions, though enjoy joining club runs occasionally","Saturday afternoon, Sunday afternoon, But occasionally - not regulalry",Location matters less than people/session type,Occasional weekend run with different pace groups and drinks after on a weekend afternoon would be good,Family commitments,Somewhat useful,I don't use this,Useful,Useful,Not useful,Very useful,I don't use this,Who to contact,"Member stories, Volunteer shout-outs, Committee member stories / get to know your committee",,Email.  Facebook private,I am really stretched for time at the moment. Happy to assist at events and with first aid.,Yes,Catriona Thurston catriona144@gmail.com,Thanks for all your efforts.,
8/23/2026 8:32:33,Full competitive member,4,"Winter season harrier events, Tuesday training, social connection, summer runs, club communications",Try to attract families to Saturday pack runs-have become poorly attended,"Friend/family already a member, My children joined the harrier club first then I joined","Coaching or advice, Racing opportunities, Training with others / Social connection / Friendships","Interclub and Club Racing / Harriers, Saturday club runs, Tuesday night sessions",Yes,Informal Sunday runs and Core exercise sessions organised within a group of Olympic friends.,"Core training with Mark, Tuesday training with Chris","Race-specific training groups, Sunday long run, Track session, Weeknight group run, Women’s social run, Quiz night or social event","Weekday evening, Sunday morning","Clubrooms / Northern Suburbs, Porirua / Whitby / Aotea, Location matters less than people/session type","Clear “no one left behind” approach, Different pace groups, Easier-to-find information, Knowing the pace beforehand",Work commitments,Somewhat useful,Very useful,Very useful,Useful,Useful,Not useful,Not useful,"Upcoming runs, Upcoming races, How to join, Who to contact, What club offers runners, Volunteer opportunities","Clear info for new members, Coaching tips, Junior updates, Social run info, Training opportunities, Upcoming events, Volunteer shout-outs",Website to give up to date information. Weekly newsletter on website and Facebook as done currently is good.,Email and Facebook,Volunteering/marshaling at events,Yes,Jean Skilton,"Olympic harriers has become an important part of my life for many years. Joining the club introduced me to running and fitness, and to many very special friendships.",
